Date,Pay_Type_1,Pay_Type_2,Class,Test
12/20/2023,,,A3,B2
12/20/2023,,,A3,B1
12/20/2023,,,A3,B2
12/20/2023,0,,A1,B1
12/21/2023,,,A5,B2
12/21/2023,,,A2,B1
12/21/2023,,,A2,B1
12/21/2023,,,A2,B1
12/21/2023,0,,A2,B1
12/21/2023,,,A5,B1
12/21/2023,,,A5,B2
12/21/2023,,,A5,B1
12/21/2023,,,A5,B2
12/21/2023,,,A1,B2
12/21/2023,0,,A1,B2
12/21/2023,,,A1,B1
12/21/2023,,,A1,B1
12/21/2023,,,A5,B2
12/21/2023,,,A1,B2
12/21/2023,,,A1,B1
12/21/2023,,,A1,B2
12/21/2023,,,A1,B1
12/21/2023,,300,A3,B2
12/21/2023,,,A3,B2
12/21/2023,,,A1,B2
12/21/2023,0,,A1,B1
12/21/2023,,,A2,B1
12/22/2023,,,A4,B1
12/22/2023,,,A4,B2
12/22/2023,,,A4,B2
12/22/2023,,,A4,B1
12/27/2023,,,A1,B1
12/27/2023,,,A1,B1
12/27/2023,,,A6,B1
12/27/2023,,,A6,B1
12/27/2023,,,A6,B1
12/27/2023,0,,A6,B1
12/27/2023,,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A1,B2
12/27/2023,,,A1,B2
12/27/2023,,,A1,B1
12/27/2023,,,A1,B2
12/27/2023,362.5,,A4,B1
12/27/2023,,,A4,B1
12/27/2023,,,A4,B1
12/27/2023,,,A4,B1
12/27/2023,,,A1,B2
12/27/2023,,,A1,B1
12/27/2023,0,,A2,B1
12/27/2023,0,,A1,B2
12/27/2023,,,A6,B1
12/27/2023,0,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A3,B3
12/27/2023,,,A3,B3
12/27/2023,,,A2,B1
12/27/2023,,,A2,B1
12/27/2023,,,A2,B2
12/27/2023,,,A2,B1
12/27/2023,,,A2,B2
12/27/2023,0,,A1,B1
12/27/2023,,,A2,B1
12/28/2023,,,A2,B1
12/28/2023,,1450,A3,B1
12/28/2023,,,A3,B1
12/28/2023,,,A2,B1
12/28/2023,0,,A2,B1
12/28/2023,,,A2,B1
12/28/2023,,,A1,B2
12/28/2023,,,A2,B1
12/28/2023,,,A1,B1
12/28/2023,0,,A1,B2
12/28/2023,0,,A1,B1
12/28/2023,,,A1,B2
12/28/2023,,,A1,B2
12/28/2023,,,A1,B1
12/28/2023,,,A1,B2
12/28/2023,,,A1,B1
12/28/2023,,,A1,B1
12/29/2023,,,A3,B2
12/29/2023,,,A3,B1
12/29/2023,,300,A3,B2
12/29/2023,,1450,A3,B1
12/29/2023,,,A4,B1
12/29/2023,,,A4,B1
12/29/2023,,,A4,B1
12/29/2023,0,,A4,B1
12/29/2023,,,A4,B1
1/2/2024,355.25,,A2,B1
1/2/2024,,,A2,B1
1/2/2024,0,,A1,B1
1/2/2024,0,,A1,B2
1/2/2024,,,A2,B1
1/2/2024,,,A2,B3
1/2/2024,,,A1,B1
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A2,B1
1/2/2024,,,A1,B1
1/2/2024,,,A1,B3
1/2/2024,,,A1,B2
1/2/2024,,,A2,B3
1/2/2024,0,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A2,B3
1/2/2024,0,,A2,B3
1/2/2024,,,A2,B1
1/2/2024,0,,A2,B1
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,0,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,,,A1,B3
1/2/2024,0,,A1,B3
1/2/2024,,,A6,B3
1/2/2024,,,A1,B2
1/2/2024,,,A1,B1
1/2/2024,,,A1,B3
1/2/2024,,,A1,B2
1/2/2024,,,A1,B1
1/2/2024,,,A2,B3
1/2/2024,,,A1,B2
1/2/2024,,,A2,B1
1/3/2024,,300,A3,B2
1/3/2024,,,A1,B1
1/3/2024,,,A1,B1
1/3/2024,,,A1,B1
1/3/2024,,,A1,B1
1/3/2024,,,A3,B1
1/3/2024,,,A3,B1
1/3/2024,0,,A1,B1
1/3/2024,,,A2,B1
1/3/2024,,,A2,B1
1/3/2024,,1450,A3,B1
1/3/2024,,,A2,B2
1/3/2024,,,A3,B1
1/3/2024,,,A3,B1
1/3/2024,,,A2,B2
1/3/2024,,,A2,B1
1/3/2024,,,A3,B2
1/3/2024,,,A3,B1
1/3/2024,,,A3,B1
1/3/2024,,,A3,B1
1/3/2024,,,A3,B2
1/3/2024,,,A2,B1
1/3/2024,,,A3,B1
1/3/2024,,,A3,B2
1/4/2024,,,A2,B1
1/4/2024,,,A2,B2
1/4/2024,,50,A3,B1
