,Pay_Type_1,Pay_Type_2,Total_Payment
486,21784.58,3590.0,25374.58
487,18185.0,2200.0,20385.0
488,15951.63,150.0,16101.63
489,9181.26,448.0,9629.26
490,800.0,0.0,800.0
491,735.0,0.0,735.0
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,0.0,0.0,0.0
495,0.0,0.0,0.0
496,0.0,0.0,0.0
497,150.7,0.0,150.7
498,134.26,510.0,644.26
499,0.0,50.0,50.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,134.26,0.0,134.26
504,631.96,0.0,631.96
505,402.78,300.0,702.78
506,316.46999999999997,20.55,337.02
507,687.68,21.0,708.68
508,134.26,150.0,284.26
509,489.95,458.31,948.26
510,268.0,16.87,284.87
511,248.15,16.86,265.01
512,298.98,32.53,331.51
513,224.17,338.48,562.65
514,259.71,0.0,259.71
515,200.93,12.05,212.98
516,681.98,25.08,707.06
517,198.51,45.07,243.57999999999998
518,1309.5,223.5,1533.0
519,1242.0,300.0,1542.0
520,1093.5,0.0,1093.5
521,73.5,75.0,148.5
522,60.0,0.0,60.0
523,73.5,0.0,73.5
524,0.0,0.0,0.0
525,1218.75,31.25,1250.0
526,0.0,0.0,0.0
527,0.0,0.0,0.0
528,675.0,0.0,675.0
529,0.0,50.0,50.0
530,0.0,0.0,0.0
531,292.5,20.0,312.5
532,0.0,0.0,0.0
533,0.0,0.0,0.0
534,0.0,0.0,0.0
535,0.0,0.0,0.0
536,735.0,0.0,735.0
537,0.0,0.0,0.0
538,0.0,0.0,0.0
539,735.0,0.0,735.0
540,0.0,0.0,0.0
541,0.0,0.0,0.0
542,0.0,0.0,0.0
543,735.0,0.0,735.0
544,0.0,0.0,0.0
545,0.0,0.0,0.0
546,0.0,0.0,0.0
547,420.0,0.0,420.0
548,1653.0,87.0,1740.0
549,0.0,0.0,0.0
550,435.0,0.0,435.0
551,0.0,0.0,0.0
552,1885.0,0.0,1885.0
553,2755.0,50.0,2805.0
554,3190.0,0.0,3190.0
555,4947.36,417.64,5365.0
556,3802.55,296.25,4098.8
557,3552.5,1550.0,5102.5
558,9298.0,2287.5,11585.5
559,6754.63,3750.0,10504.630000000001
560,1470.0,0.0,1470.0
561,735.0,0.0,735.0
562,735.0,0.0,735.0
563,735.0,0.0,735.0
564,0.0,0.0,0.0
565,0.0,65.0,65.0
566,0.0,100.0,100.0
567,0.0,0.0,0.0
568,0.0,0.0,0.0
569,0.0,0.0,0.0
570,0.0,0.0,0.0
571,0.0,0.0,0.0
572,0.0,0.0,0.0
573,0.0,0.0,0.0
574,0.0,0.0,0.0
575,0.0,0.0,0.0
576,77.06,0.0,77.06
577,0.0,0.0,0.0
578,0.0,0.0,0.0
579,134.26,0.0,134.26
580,0.0,0.0,0.0
581,253.82,0.0,253.82
582,237.01,0.0,237.01
583,102.75,0.0,102.75
584,590.79,0.0,590.79
585,759.3499999999999,15.0,774.3499999999999
586,839.78,300.0,1139.78
587,77.06,25.69,102.75
588,268.52,100.0,368.52
589,299.94,167.0,466.94
590,312.28,122.85,435.13
591,70.83,25.29,96.12
592,35.42,12.04,47.46
593,0.0,75.0,75.0
594,23.61,200.0,223.61
595,0.0,0.0,0.0
596,0.0,10.0,10.0
597,0.0,0.0,0.0
598,210.0,0.0,210.0
599,0.0,0.0,0.0
600,0.0,0.0,0.0
601,0.0,0.0,0.0
602,0.0,0.0,0.0
603,0.0,0.0,0.0
604,0.0,0.0,0.0
605,0.0,0.0,0.0
606,360.0,15.0,375.0
607,0.0,0.0,0.0
608,0.0,0.0,0.0
609,0.0,0.0,0.0
610,0.0,0.0,0.0
611,0.0,0.0,0.0
612,0.0,0.0,0.0
613,0.0,0.0,0.0
614,0.0,0.0,0.0
615,0.0,0.0,0.0
616,720.3,15.0,735.3
617,0.0,0.0,0.0
618,0.0,0.0,0.0
619,0.0,0.0,0.0
620,1450.0,0.0,1450.0
621,1151.3,0.0,1151.3
622,0.0,0.0,0.0
623,1391.86,0.0,1391.86
624,2799.25,0.0,2799.25
625,1450.0,75.0,1525.0
626,1450.0,1900.0,3350.0
627,568.4,200.0,768.4
628,0.0,0.0,0.0
629,1552.6,1600.0,3152.6
630,2860.05,205.0,3065.05
631,2607.33,1039.5,3646.83
632,2856.0,2299.57,5155.57
633,3567.42,700.0,4267.42
634,10007.5,3233.46,13240.96
635,13560.0,60.55,13620.55
636,7420.0,1915.0,9335.0
637,15681.57,870.0,16551.57
638,16159.0,935.55,17094.55
639,14293.47,948.75,15242.22
640,17824.61,300.0,18124.61
641,8569.25,550.0,9119.25
642,10378.8,1750.0,12128.8
643,16620.0,0.0,16620.0
644,9462.05,1353.75,10815.8
645,11040.0,0.0,11040.0
646,8278.0,0.0,8278.0
647,0.0,0.0,0.0
648,90.09,0.0,90.09
649,841.8199999999999,0.0,841.8199999999999
650,134.26,0.0,134.26
651,134.26,0.0,134.26
652,134.26,0.0,134.26
653,402.78,75.0,477.78
654,268.52,300.0,568.52
655,243.85999999999999,50.0,293.86
656,134.26,0.0,134.26
657,349.08,354.8,703.88
658,102.75,0.0,102.75
659,200.01999999999998,191.44,391.46
660,353.78,350.0,703.78
661,61.03,10.0,71.03
662,225.5,321.68,547.18
663,519.99,14.45,534.44
664,256.65,10.0,266.65
665,287.45,155.0,442.45
666,283.32,28.9,312.21999999999997
667,237.34,0.0,237.34
668,328.61,0.0,328.61
669,2100.0,0.0,2100.0
670,1200.0,300.0,1500.0
671,3150.0,300.0,3450.0
672,1576.5,76.5,1653.0
673,3300.0,0.0,3300.0
674,1200.0,0.0,1200.0
675,0.0,0.0,0.0
676,0.0,0.0,0.0
677,250.0,0.0,250.0
678,0.0,0.0,0.0
679,0.0,0.0,0.0
680,719.93,0.0,719.93
681,0.0,0.0,0.0
682,0.0,0.0,0.0
683,0.0,0.0,0.0
